Time, Demand
8:15 am, 15776.70
8:10 am, 15818.10
8:05 am, 15847.80
8:00 am, 15896.70
7:55 am, 15981.60
7:50 am, 15993.80
7:45 am, 16006.40
7:40 am, 16021.80
7:35 am, 16094.50
7:30 am, 16173.00
7:25 am, 16300.00
7:20 am, 16352.80
7:15 am, 16469.50
7:10 am, 16477.70
7:05 am, 16487.40
7:00 am, 16476.40
6:55 am, 16457.90
6:50 am, 16457.40
6:45 am, 16439.40
6:40 am, 16374.90
6:35 am, 16327.40
6:30 am, 16283.90
6:25 am, 16241.20
6:20 am, 16221.80
6:15 am, 16186.60
6:10 am, 16050.30
6:05 am, 15772.00
6:00 am, 15435.80
5:55 am, 15214.10
5:50 am, 15071.00
5:45 am, 14954.20
5:40 am, 14829.50
5:35 am, 14723.50
5:30 am, 14593.30
5:25 am, 14458.60
5:20 am, 14349.90
5:15 am, 14189.30
5:10 am, 13884.00
5:05 am, 13612.70
5:00 am, 13527.60
4:55 am, 13439.30
4:50 am, 13361.10
4:45 am, 13288.10
4:40 am, 13216.20
4:35 am, 13204.20
4:30 am, 13123.70
4:25 am, 13028.30
4:20 am, 12937.50
4:15 am, 12837.10
4:10 am, 12779.20
4:05 am, 12692.10
4:00 am, 12609.80
3:55 am, 12579.70
3:50 am, 12548.50
3:45 am, 12538.20
3:40 am, 12515.60
3:35 am, 12487.30
3:30 am, 12461.90
3:25 am, 12427.50
3:20 am, 12352.70
3:15 am, 12287.80
3:10 am, 12264.70
3:05 am, 12226.00
3:00 am, 12196.30
2:55 am, 12190.80
2:50 am, 12203.80
2:45 am, 12211.90
2:40 am, 12220.10
2:35 am, 12233.00
2:30 am, 12231.00
2:25 am, 12217.30
2:20 am, 12215.80
2:15 am, 12215.00
2:10 am, 12223.70
2:05 am, 12225.80
2:00 am, 12255.90
1:55 am, 12288.90
1:50 am, 12295.10
1:45 am, 12265.90
1:40 am, 12238.60
1:35 am, 12189.80
1:30 am, 12204.00
1:25 am, 12197.00
1:20 am, 12187.10
1:15 am, 12168.80
1:10 am, 12184.10
1:05 am, 12205.70
1:00 am, 12232.20
0:55 am, 12257.20
0:50 am, 12285.20
0:45 am, 12292.30
0:40 am, 12292.30
0:35 am, 12228.40
0:30 am, 12224.30
0:25 am, 12241.20
0:20 am, 12287.60
0:15 am, 12338.00
0:10 am, 12385.80
0:05 am, 12412.70
0:00 am, 12422.00
